onset	duration	trial_type
1	7	Literal
15.285	0.877	Pregunta
17.162	7	Novedoso
32.258	0.626	Pregunta
33.884	7	Literal
47.186	0.72	Pregunta
48.906	7	Literal
63.24	0.751	Pregunta
64.991	7	Literal
78.589	1.813	Pregunta
81.402	7	Literal
94.784	0.748	Pregunta
96.532	7	Familiar
110.424	0.533	Pregunta
111.957	7	Literal
128.902	1.283	Pregunta
131.185	7	Novedoso
145.749	1.908	Pregunta
148.657	7	Literal
162.052	0.72	Pregunta
163.772	7	Familiar
179.027	0.783	Pregunta
180.81	7	Familiar
195.693	1.064	Pregunta
197.757	7	Familiar
213.395	0.658	Pregunta
215.053	7	Literal
228.355	1.752	Pregunta
231.107	7	Literal
247.946	0.501	Pregunta
249.447	7	Literal
265.084	0.595	Pregunta
266.679	7	Literal
281.812	0.407	Pregunta
283.219	7	Novedoso
300.212	0.627	Pregunta
301.839	7	Novedoso
318.758	1.22	Pregunta
320.978	7	Literal
337.581	0.658	Pregunta
339.239	7	Literal
352.342	1.064	Pregunta
354.406	7	Literal
367.737	0.72	Pregunta
369.457	7	Literal
385.768	2.064	Pregunta
388.832	7	Literal
403.056	0.971	Pregunta
405.027	7	Literal
418.995	0.595	Pregunta
420.59	7	Literal
434.396	0.564	Pregunta
