onset	duration	trial_type
1	7	Familiar
16.654	0.439	Pregunta
18.093	7	Familiar
32.923	0.658	Pregunta
34.581	7	Familiar
50.577	0.533	Pregunta
52.11	7	Familiar
68.196	1.033	Pregunta
70.229	7	Novedoso
87.1	0.689	Pregunta
88.789	7	Novedoso
102.781	0.627	Pregunta
104.408	7	Novedoso
120.493	0.595	Pregunta
122.088	7	Novedoso
136.982	1.996	Pregunta
139.978	7	Literal
154.338	3.252	Pregunta
158.59	7	Literal
172.855	1.283	Pregunta
175.138	7	Literal
188.892	0.595	Pregunta
190.487	7	Literal
204.786	0.783	Pregunta
206.569	7	Literal
220.601	0.626	Pregunta
222.227	7	Literal
236.229	0.845	Pregunta
238.074	7	Literal
251.719	0.658	Pregunta
253.377	7	Literal
266.56	0.564	Pregunta
268.124	7	Literal
282.21	0.846	Pregunta
284.056	7	Literal
300.098	0.564	Pregunta
301.662	7	Literal
318.299	1.72	Pregunta
321.019	7	Literal
336.795	0.908	Pregunta
338.703	7	Literal
352.942	0.626	Pregunta
354.568	7	Literal
367.768	0.377	Pregunta
369.145	7	Literal
385.983	0.22	Pregunta
387.203	7	Literal
402.516	0.907	Pregunta
404.423	7	Literal
421.372	3.189	Pregunta
425.561	7	Literal
439.086	1.97	Pregunta
