onset	duration	trial_type
1	7	Literal
14.579	0.782	Pregunta
16.361	7	Literal
31.768	0.751	Pregunta
33.519	7	Familiar
49.367	0.747	Pregunta
51.114	7	Familiar
66.427	0.845	Pregunta
68.272	7	Literal
81.843	0.782	Pregunta
83.625	7	Novedoso
97.969	2.22	Pregunta
101.189	7	Literal
116.605	0.689	Pregunta
118.294	7	Literal
133.812	0.657	Pregunta
135.469	7	Literal
150.865	2.157	Pregunta
154.022	7	Literal
168.202	1.002	Pregunta
170.204	7	Familiar
185.699	0.813	Pregunta
187.512	7	Novedoso
202.619	0.689	Pregunta
204.308	7	Literal
219.261	0.658	Pregunta
220.919	7	Literal
237.718	1.813	Pregunta
240.531	7	Familiar
257.225	0.814	Pregunta
259.039	7	Literal
275.355	3.845	Pregunta
280.2	7	Literal
294.631	1.252	Pregunta
296.883	7	Literal
313.108	0.97	Pregunta
315.078	7	Literal
329.378	0.876	Pregunta
331.254	7	Novedoso
347.111	0.97	Pregunta
349.081	7	Literal
362.582	1.908	Pregunta
365.49	7	Literal
378.875	1.251	Pregunta
381.126	7	Literal
396.437	0.627	Pregunta
398.064	7	Literal
412.528	0.813	Pregunta
414.341	7	Literal
428.194	0.752	Pregunta
429.946	7	Novedoso
446.851	1.064	Pregunta
