onset	duration	trial_type
1	7	Literal
17.784	0.876	Pregunta
19.66	7	Literal
35.801	0.814	Pregunta
37.615	7	Literal
53.557	0.72	Pregunta
55.277	7	Literal
69.981	1.158	Pregunta
72.139	7	Literal
86.556	0.721	Pregunta
88.277	7	Literal
102.119	0.72	Pregunta
103.839	7	Literal
117.123	0.658	Pregunta
118.781	7	Literal
133.815	3.283	Pregunta
138.098	7	Literal
151.876	2.064	Pregunta
154.94	7	Literal
171.439	0.752	Pregunta
173.191	7	Literal
188.17	0.814	Pregunta
189.984	7	Literal
206.693	1.969	Pregunta
209.662	7	Familiar
222.694	1.47	Pregunta
225.164	7	Novedoso
238.491	0.97	Pregunta
240.461	7	Novedoso
254.144	0.845	Pregunta
255.989	7	Literal
272.325	1.47	Pregunta
274.795	7	Literal
291.288	0.845	Pregunta
293.133	7	Novedoso
307.192	0.72	Pregunta
308.912	7	Literal
324.933	3.158	Pregunta
329.091	7	Novedoso
342.104	2.251	Pregunta
345.355	7	Literal
361.716	1.876	Pregunta
364.592	7	Familiar
380.989	1.658	Pregunta
383.647	7	Literal
397.075	0.939	Pregunta
399.014	7	Literal
415.165	0.908	Pregunta
417.073	7	Familiar
433.036	0.908	Pregunta
434.944	7	Familiar
451.377	0.783	Pregunta
