onset	duration	trial_type
1	7	Literal
15.817	0.501	Pregunta
17.318	7	Familiar
31.639	2.47	Pregunta
35.109	7	Novedoso
49.893	2.064	Pregunta
52.957	7	Literal
67.206	2.501	Pregunta
70.707	7	Familiar
86.373	0.751	Pregunta
88.124	7	Literal
102.384	1.127	Pregunta
104.511	7	Familiar
117.751	0.939	Pregunta
119.69	7	Literal
132.842	1.876	Pregunta
135.718	7	Literal
148.741	0.72	Pregunta
150.461	7	Literal
164.945	2.283	Pregunta
168.228	7	Novedoso
182.998	0.72	Pregunta
184.718	7	Literal
199.971	1.251	Pregunta
202.222	7	Literal
216.057	0.845	Pregunta
217.902	7	Literal
233.329	1.251	Pregunta
235.58	7	Literal
249.804	1.22	Pregunta
252.024	7	Familiar
265.855	1.407	Pregunta
268.262	7	Literal
282.561	0.501	Pregunta
284.062	7	Literal
297.312	1.47	Pregunta
299.782	7	Literal
315.737	1.533	Pregunta
318.27	7	Literal
333.664	0.939	Pregunta
335.603	7	Literal
349.023	1.845	Pregunta
351.868	7	Novedoso
367.612	4	Pregunta
372.612	7	Literal
389.301	1.564	Pregunta
391.865	7	Novedoso
405.132	0.627	Pregunta
406.759	7	Literal
421.909	0.908	Pregunta
423.817	7	Literal
440.711	0.782	Pregunta
