onset	duration	trial_type
1	7	Novedoso
16.621	0.845	Pregunta
18.466	7	Literal
34.496	0.877	Pregunta
36.373	7	Literal
51.234	0.689	Pregunta
52.923	7	Novedoso
69.089	0.845	Pregunta
70.934	7	Literal
84.878	0.877	Pregunta
86.755	7	Literal
102.453	0.814	Pregunta
104.267	7	Literal
121.185	3.564	Pregunta
125.749	7	Literal
139.2	3.283	Pregunta
143.483	7	Familiar
159.844	2.439	Pregunta
163.283	7	Literal
179.341	1.283	Pregunta
181.624	7	Literal
197.601	4	Pregunta
202.601	7	Literal
219.048	0.564	Pregunta
220.612	7	Familiar
237.09	3.251	Pregunta
241.341	7	Literal
254.714	0.626	Pregunta
256.34	7	Literal
272.695	0.783	Pregunta
274.478	7	Literal
290.954	3.845	Pregunta
295.799	7	Literal
312.357	0.658	Pregunta
314.015	7	Literal
330.214	0.782	Pregunta
331.996	7	Novedoso
348.632	0.72	Pregunta
350.352	7	Familiar
363.478	0.783	Pregunta
365.261	7	Literal
380.726	3.341	Pregunta
385.067	7	Literal
400.728	0.751	Pregunta
402.479	7	Literal
416.745	0.814	Pregunta
418.559	7	Familiar
435.255	0.783	Pregunta
437.038	7	Literal
453.922	0.72	Pregunta
455.642	7	Novedoso
468.683	0.814	Pregunta
