onset	duration	trial_type
1	7	Familiar
16.672	1.283	Pregunta
18.955	7	Literal
34.332	2.877	Pregunta
38.209	7	Literal
53.973	1.064	Pregunta
56.037	7	Familiar
69.893	1.002	Pregunta
71.895	7	Literal
86.268	0.72	Pregunta
87.988	7	Literal
103.479	3.533	Pregunta
108.012	7	Literal
121.453	0.97	Pregunta
123.423	7	Literal
139.688	1.033	Pregunta
141.721	7	Familiar
156.01	0.845	Pregunta
157.855	7	Literal
173.058	0.752	Pregunta
174.81	7	Literal
190.844	0.814	Pregunta
192.658	7	Novedoso
207.828	0.877	Pregunta
209.705	7	Novedoso
225.21	3.252	Pregunta
229.462	7	Novedoso
242.64	1.157	Pregunta
244.797	7	Literal
259.921	3.595	Pregunta
264.516	7	Literal
278.322	0.908	Pregunta
280.23	7	Novedoso
296.404	0.971	Pregunta
298.375	7	Literal
314.629	0.782	Pregunta
316.411	7	Literal
329.682	1.282	Pregunta
331.964	7	Literal
347.684	0.783	Pregunta
349.467	7	Literal
364.357	4	Pregunta
369.357	7	Literal
382.851	0.877	Pregunta
384.728	7	Literal
401.45	4	Pregunta
406.45	7	Familiar
419.792	0.72	Pregunta
421.512	7	Literal
436.899	1.127	Pregunta
439.026	7	Literal
454.031	2.095	Pregunta
