onset	duration	trial_type
1	7	Familiar
15.424	0.907	Pregunta
17.331	7	Familiar
33.744	2.157	Pregunta
36.901	7	Familiar
50.72	0.72	Pregunta
52.44	7	Familiar
65.527	0.782	Pregunta
67.309	7	Novedoso
81.427	0.97	Pregunta
83.397	7	Novedoso
98.253	1.064	Pregunta
100.317	7	Novedoso
117.062	0.658	Pregunta
118.72	7	Novedoso
132.919	0.595	Pregunta
134.514	7	Literal
149.468	0.72	Pregunta
151.188	7	Literal
167.182	1.377	Pregunta
169.559	7	Literal
183.38	1.126	Pregunta
185.506	7	Literal
200.183	0.97	Pregunta
202.153	7	Literal
218.525	1.22	Pregunta
220.745	7	Literal
234.842	1.439	Pregunta
237.281	7	Literal
250.386	1.251	Pregunta
252.637	7	Literal
268.398	0.595	Pregunta
269.993	7	Literal
284.269	3.157	Pregunta
288.426	7	Literal
303.876	0.814	Pregunta
305.69	7	Literal
320.904	0.939	Pregunta
322.843	7	Literal
339.181	4	Pregunta
344.181	7	Literal
359.815	0.72	Pregunta
361.535	7	Literal
376.445	0.658	Pregunta
378.103	7	Literal
393.573	0.689	Pregunta
395.262	7	Literal
408.374	0.783	Pregunta
410.157	7	Literal
425.852	0.814	Pregunta
427.666	7	Literal
442.709	0.72	Pregunta
