onset	duration	trial_type
1	7	Familiar
16.764	0.908	Pregunta
18.672	7	Novedoso
33.273	0.939	Pregunta
35.212	7	Literal
51.284	0.814	Pregunta
53.098	7	Literal
68.921	0.877	Pregunta
70.798	7	Literal
85.057	0.939	Pregunta
86.996	7	Literal
101.146	3.877	Pregunta
106.023	7	Novedoso
119.306	0.657	Pregunta
120.963	7	Familiar
136.768	0.939	Pregunta
138.707	7	Familiar
152.863	0.751	Pregunta
154.614	7	Novedoso
168.836	0.72	Pregunta
170.556	7	Literal
187.222	0.908	Pregunta
189.13	7	Familiar
202.99	1.094	Pregunta
205.084	7	Literal
219.865	2.126	Pregunta
222.991	7	Literal
238.035	0.783	Pregunta
239.818	7	Novedoso
254.747	0.751	Pregunta
256.498	7	Literal
269.737	0.908	Pregunta
271.645	7	Literal
286.012	1.001	Pregunta
288.013	7	Literal
303.665	1.97	Pregunta
306.635	7	Literal
321.608	2.532	Pregunta
325.14	7	Literal
340.13	2.376	Pregunta
343.506	7	Literal
359.031	0.845	Pregunta
360.876	7	Literal
374.206	0.752	Pregunta
375.958	7	Literal
391.429	0.814	Pregunta
393.243	7	Literal
408.375	0.97	Pregunta
410.345	7	Literal
426.641	0.72	Pregunta
428.361	7	Literal
442.025	0.876	Pregunta
